c_resid,unit,nace_r2,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
FOR,PCH_PRE,I551,TR	24.79 	: 	: 	-38.52 	-1.77 	11.26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I551,UK	: 	: 	: 	-7.94 	: 	: 	13.13 	-1.59 	3.15 	6.86 	-1.21 	-6.21 	-0.09 	10.01 	7.52 	9.9 	1.6 	-16.7 	0 	0 	4.4 	-4.7 	1.3 	-1.3 	14.7 	4.7 	7.2 	8.2 	-4.9 	: 
FOR,PCH_PRE,I551-I553,AT	3.54 	4.25 	4.98 	4.81 	5.84 	2.13 	2.69 	5.11 	5.05 	3.65 	-2.84 	5.32 	3.13 	2.54 	2.97 	2.2 	3.1 	2.3 	1.2 	3.5 	0.5 	6 	-1.9 	0.5 	-3.5 	-1.3 	-5 	0.2 	-1.5 	5.2 
FOR,PCH_PRE,I551-I553,BE	2.46 	8.76 	12.07 	-10.45 	5.92 	2.64 	1.6 	0.88 	4.28 	5.47 	-4.9 	1.7 	0.72 	3.66 	0.56 	0.3 	-0.5 	4.2 	-0.1 	1.4 	3.1 	2.4 	3.6 	4.8 	4.7 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,BG	4.02 	6.96 	7.94 	18.24 	2.61 	-1.03 	7.2 	9.25 	15.9 	6.91 	-12.54 	-0.17 	8.63 	5.92 	14.23 	21.2 	34.5 	19.1 	16.4 	27.2 	-15.7 	2.7 	-12.2 	-5.3 	-16.4 	-12.8 	6.4 	39.5 	-64.7 	: 
FOR,PCH_PRE,I551-I553,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-4.7 	9.3 	-0.4 	2.1 	4.6 	-3.1 	-5.6 	-25.5 	-3.5 	1.5 	-3.9 	4.2 
FOR,PCH_PRE,I551-I553,CY	0.89 	7.12 	9.72 	21.01 	-3.17 	-0.63 	-3.6 	3.79 	7.34 	8.52 	-5.1 	-1.29 	0.79 	0.46 	1.62 	-5 	-10.5 	-12.8 	4.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,CZ	2.63 	4.44 	9 	7.06 	7.55 	3.11 	2.7 	13.88 	6.02 	5 	-9.28 	-0.45 	3.8 	1.57 	4.54 	19.4 	7 	-12.3 	13.3 	-10.1 	0.5 	9.4 	9 	31.4 	13.3 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,DE	1.79 	3.86 	5.37 	1.65 	6 	4.62 	3.7 	7.2 	5.6 	10.94 	-2.95 	1.9 	3.5 	9.62 	6.77 	9.6 	2.7 	-0.3 	-5.2 	10.7 	3.7 	4.3 	4.2 	2.4 	2.4 	1 	-9.8 	1.7 	-8.1 	16.2 
FOR,PCH_PRE,I551-I553,DK	1.81 e	5.57 e	3.76 e	5.2 e	6.71 e	5.87 e	4.3 	4 	8.03 	10.84 	-8.87 	-2.94 	-0.43 	1.66 	-0.92 	0.3 	1.1 	-1.5 	-2.3 	2.3 	-2.4 	-4 	1.6 	: 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,EA	2.62 	5.7 e	8.11 e	4 	5.67 	5.49 	: 	1.71 	6.93 e	9.05 e	-6.97 	1.8 e	: 	5.94 e	3.62 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,EE	5.27 	-0.72 	4.84 	6.6 	-2.73 	2.23 	3.6 	3.63 	15.6 	13.29 	-3.68 	3.84 	-3.31 	-1.78 	5.75 	23.5 	10.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,EL	2.95 	27.54 	12.73 	2.51 	8.14 	19.69 	13.52 	-7.06 e	11.59 e	3.79 e	17.42 	-0.75 	15.56 	5.44 	13.74 	-4.5 	-1.1 	-5.1 	-10 	8.1 	-1.6 	7 	13.3 	-4.1 	-6.5 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,ES	2.98 	0.82 	6.34 	10.67 	5.86 	5.14 	3.5 	0.94 	10.35 	10.15 	-10.33 	-0.53 	1.88 	15.33 	3.06 	-0.9 	1.7 	-0.6 	-1.7 	29.4 	31.8 	10.8 	7.7 	3.9 	6.2 	17.8 	5.4 	3.5 	-1.2 	-7.4 
FOR,PCH_PRE,I551-I553,EU27_2007	2.94 e	5.18 e	7.94 e	3.71 	10.74 	4.25 e	5.67 e	2.55 	6.57 e	8.03 e	-6.06 	-0.01 e	: 	5.5 e	6.66 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,EU27_2020	2.72 	5.65 e	8.22 e	4.66 	6.06 	4.57 	: 	3.5 	6.63 e	8.12 e	-6.69 	: 	: 	4.99 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,EU28	2.99 e	5.24 e	8.14 e	3.9 	10.54 	4.32 e	5.69 e	3.47 	6.6 e	7.72 e	-6.03 	0.08 e	: 	5.37 e	6.68 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,FI	2.05 	1.38 	14.03 	6.36 	-4 	-2.34 	0.7 	5.94 	13.11 	4.43 	-10.99 	0.89 	6.71 	11.38 	-0.16 	1.8 	0.2 	2.2 	1.4 	7.7 	-1.9 	1.9 	6.2 	-3.1 	-4.7 	11.3 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,FR	-1.76 	7.33 	8.81 	-3.93 	1.57 	0.16 	8.7 	1.73 	13.28 	2.36 	-8.28 	-3.2 	2.38 	-5.88 	2.96 	3.5 	-8.9 	2.9 	0.1 	6.5 	7.5 	: 	: 	: 	-3 	4.7 	-4.8 	9.9 	-0.2 	: 
FOR,PCH_PRE,I551-I553,HR	4.29 	6.76 	13.67 	9.28 	9.66 	6.16 	6.3 	40.09 	8.78 	-4.45 	-1.69 	0.76 	5.76 	0.31 	5.52 	7 	6.1 	4.8 	11.2 	47.4 	-14.5 	7.5 	34.9 	84.1 	-38.6 	46 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,HU	3.76 	5.22 	6.57 	7.57 	6.73 	5.24 	5.4 	13.41 	8.44 	4.89 	-8.19 	1.88 	4.27 	-3.96 	5.4 	10.9 	-2.2 	-1.9 	-4.5 	6.8 	-3.3 	7.8 	-3.1 	3.5 	-2.3 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,IE	-0.36 e	: 	: 	18.96 e	18.91 e	4.32 e	: 	-44.97 u	8.58 u	-7.26 u	: 	: 	: 	: 	: 	: 	: 	: 	-62 	172.6 	10 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,IS	: 	: 	: 	17.82 	30.01 	35.38 	18.3 	17.26 	16.52 	-1.88 	11.67 	4.57 	8.81 	11.58 	2 	8.4 	9.5 	4.9 	5.4 	6 	6.4 	13.8 	8.9 	: 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,IT	2.87 	4.41 	6.62 	3.13 	6.59 	2.73 	3.1 	2.69 	8.37 	6.49 	-1.61 	-2.51 	4.08 	8.25 	3.65 	4.9 	-3.7 	1.6 	1.9 	10.2 	2.9 	3.3 	2.2 	6.3 	11.8 	17.3 	2.9 	0.9 	-3 	1.4 
FOR,PCH_PRE,I551-I553,LI	15.04 	7.6 	14.73 	21.91 	-7.49 	2.7 	-4.4 	-6.87 	4.14 	-3.28 	-8.81 	0.18 	5.27 	8.1 	0.71 	-0.7 	0.2 	-10.9 	-2.6 	3 	-1.4 	15.4 	-11.6 	-4.9 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,LT	11.08 	10.16 	4.34 	9.32 	2.33 	7.66 	9.8 	21.69 	19.13 	11.37 	-17.14 	6.61 	11.74 	11.12 	16.09 	35.8 	12.2 	11.7 	18.9 	1.9 	-6.4 	6.8 	16.6 	20.2 	-7.9 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,LU	2.3 	-2.69 	-0.74 	-3.3 	4.92 	9.97 	-0.6 	8.75 	8.5 	-5.07 	-3.32 	-4.15 	1.02 	-0.49 	4.07 	1.3 	-2 	5.9 	-1.8 	-1.3 	9.5 	1.5 	7.7 	-5.8 	0 	-3.7 	4.2 	-7.9 	0.5 	-2.3 
FOR,PCH_PRE,I551-I553,LV	1.07 	8.23 	13.05 	6.7 	3.06 	14.5 	14 	3.1 	21.14 	16.43 	-20.2 	11.82 	3.5 	11.8 	33.88 	31.4 	15 	11.8 	20.5 	11.3 	0.8 	8.6 	16.8 	1.9 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,ME	: 	: 	-49.25 	6.55 	: 	: 	: 	137.85 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,MK	7.48 	12.12 	23.33 	6.08 	14.88 	5.61 	13.8 	7.03 	25.22 	1.3 	1.52 	: 	: 	: 	: 	: 	: 	24.8 	-55.2 	21.2 	18.7 	27.5 	-5.3 	-6.4 	: 	: 	-0.7 	-27.8 	-43.9 	: 
FOR,PCH_PRE,I551-I553,MT	1.33 	8.16 	13.23 	2.75 	2.11 	6.66 	9.7 	-0.19 	7.12 	16.81 	-11.26 	2.84 	3.65 	-1.76 	-1.14 	7.9 	1.6 	-3.7 	2.4 	-4.9 	3.3 	7.5 	8.4 	-2.7 	-4.1 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,NL	7.18 	4.78 	13.23 	5.48 	7.77 	8.93 	9.9 b	2.96 	3.83 	9.7 	-1.82 	-8.21 	2.51 	7.26 	3.78 	5.1 	-4.3 	1 	-5 	1.2 	6 	18.8 	19.2 	0.1 	6.4 	7.3 	-4.8 	3.5 	0.8 	11.3 
FOR,PCH_PRE,I551-I553,NO	: 	: 	: 	11.64 	9.25 	1.6 	5.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-2.6 	-2.4 	-4.3 	1.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,PL	5.48 	4.09 	6.66 	12.11 	4.01 	4.34 	5.3 	12.92 	6.64 	7.07 	-4.56 	-7.77 	1.71 	0.07 	9.57 	18.1 	5.9 	-0.2 	1.1 	25 	-25.3 	-8 	-5.3 	3.5 	6.1 	4.9 	0.7 	19.8 	: 	: 
FOR,PCH_PRE,I551-I553,PT	7.75 	5.15 	15.84 	13.88 	11.89 	15.33 	12 	3.3 	7.51 	4.93 	-7.51 	2.56 	6.9 	10.06 	2.04 	5 	-3.2 	3.1 	-3.7 	4.1 	-2.9 	15.4 	5.1 	-0.1 	4.2 	10.8 	-8.8 	-8.9 	7.5 	6.5 
FOR,PCH_PRE,I551-I553,RO	-4.08 	1.35 	11.24 	10.62 	16.86 	11.51 	3.7 	9.01 	12.65 	5.55 	-12.98 	-5.48 	12.4 	-3.5 	5.18 	23 	10.6 	9.3 	5.5 	9 	-1.8 	-2.7 	9.2 	-0.4 	-72.2 	225.1 	-28.4 	-95.9 	1901.7 	: 
FOR,PCH_PRE,I551-I553,RS	: 	: 	: 	13.37 	15.47 	14.64 	8.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,SE	2.63 	5.5 	4.44 	4.51 	14.89 	8.46 	1.7 	-1.24 	1.1 	1.97 	2.68 	-7.79 	9.2 	-3.84 	4.43 	9.6 	-0.2 	4.1 	7.3 	47.5 	0.9 	-25.8 	-2.8 	: 	: 	12.4 	3.8 	-1 	-8.1 	-7.5 
FOR,PCH_PRE,I551-I553,SI	: 	: 	18.46 	12.05 	12.44 	6.63 	4.8 	10.58 	8.71 	2.11 	-7.45 	9.79 	8.41 	3.73 	4.44 	9.5 	5.6 	6.7 	13.4 	20.8 	-9.2 	0.1 	17.3 	13.6 	-2.4 	20.9 	1 	: 	: 	: 
FOR,PCH_PRE,I551-I553,SK	8.81 	3.97 	6.7 	17.35 	16.49 	-11.67 	9.4 	4.35 	10.26 	2.34 	-26.25 	4.48 	4.46 	6.43 	8.23 	1.1 	-1.1 	14.2 	16 	8 	9.3 	10.1 	-14.5 	5.2 	-0.8 	38.1 	36 	-22.9 	-24.3 	: 
FOR,PCH_PRE,I551-I553,TR	24.79 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I551-I553,UK	: 	: 	: 	-1.82 	: 	: 	: 	3.03 	3.55 	5.45 	-0.64 	-7.18 	0.52 	10.06 	8.31 	10.7 	1.4 	-17.6 	0 	0 	4.1 	-4.9 	1.5 	-0.7 	16 	5.6 	6.5 	8.2 	-5.2 	-17.9 
FOR,PCH_PRE,I552,AT	7.02 	8.93 	6.18 	9.7 	5.09 	3.05 	5.02 	9.2 b	5.64 	2.12 	1.41 	9.93 	5.06 	4.27 	3.28 	3.6 	6.9 	8.1 	6.4 	4.7 	12.4 	43.6 	-3 	6.3 	114 	-1.8 	0 	2.1 	-55.8 	162.1 
FOR,PCH_PRE,I552,BE	6.23 	16.31 	8.42 	4.14 	33.48 	3.09 	3.9 	8.1 b	0.94 	4.24 	-5.66 	2.2 	0.21 	-2.18 	3.52 	-6.9 	-1.7 	3.3 	4.6 	-5.4 	3 	4.9 	-1.8 	-2.5 	177.2 	-1.4 	-2.9 	: 	: 	: 
FOR,PCH_PRE,I552,BG	6.01 	21.05 	24.99 	15.17 	-0.61 	-9.19 	26.5 	181.5 b	42.88 	11.88 	-27.59 	-13.56 	-22.5 	6.82 	5.6 	29.3 	376.4 	36.8 	-6.2 	-3.6 	-12.3 	-17.6 	-42.6 	16.8 	-21.4 	-25.1 	-46.4 	20.2 	-46.1 	: 
FOR,PCH_PRE,I552,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-4 	7.8 	-3.6 	-3.3 	-3.6 	-4 	-1.5 	-98.7 	3.8 	0.6 	-38.7 	81.6 
FOR,PCH_PRE,I552,CY	: 	: 	: 	: 	: 	: 	: 	-100 b	6.17 	-0.14 	237.5 	-11.67 	1.72 	-25.56 	32.39 	13.3 	12.7 	505 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I552,CZ	-4.34 	17.18 	7.61 	10.04 	16.31 	14.8 	14.3 	60.13 b	-8.93 	-7.06 	-23.6 	-10.93 	-1.05 	3.73 	-10.84 	13.5 	27.3 	-20.5 	46.4 	-64.9 	-18.5 	59.9 	24.7 	88.8 	-22.2 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I552,DE	6.46 	3.86 	4.94 	3.05 	1.93 	6.33 	3.8 	8.6 b	3.62 	9.64 	-5.34 	9.93 	1.13 	8.01 	13.9 	9.7 	6 	1 	-1.8 	6.9 	3.2 	-1 	-1 	3 	26.9 	325.5 	-10.9 	-9.4 	-78.5 	334.7 
FOR,PCH_PRE,I552,DK	-3.23 e	8.85 e	9.95 e	19.02 e	53.51 e	-3.92 e	-3.3 	-3.46 b	11.91 	5.5 	-15.21 	-9.99 	10.24 	10.06 	0.29 	-12.1 	-3.9 	0.6 	-4.3 	1.6 	-5.5 	-2.8 	-1.3 	: 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I552,EA	8.87 	9.74 e	11.94 e	9.4 	9.25 	9.72 	: 	6 b	2.85 e	7.1 e	1.24 e	0.38 e	: 	7.12 e	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I552,EE	14.91 	4.52 	9.59 	13.83 	-2.03 	17.82 	11.8 	38.06 b	43.53 	5.1 	-10.5 	-14.92 	0.33 	-6.71 	30.4 	-32.5 	54.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I552,EL	8.4 	15.9 	7.73 	4.59 	11.82 	52.57 	13.53 	0.93 be	11.34 e	-1.24 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I552,ES	0.28 	-3.33 	8.39 	13.92 	4.73 	8.92 	4.6 	1.73 b	10.92 	5.84 	-11.01 	-2.34 	-8.48 	4.69 	-3.12 	-7.3 	-3.2 	-0.3 	-7.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I552,EU27_2007	7.59 e	7.04 e	10.32 e	8.24 	49.03 	8.79 e	7.16 e	10.99 b	7 e	6.99 e	1.48 e	0.11 e	: 	6.82 e	7.64 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I552,EU27_2020	8.19 	9.51 e	12.73 e	10.76 	10.38 	9.11 	: 	16.51 b	4.9 e	5.47 e	0.36 e	: 	: 	6.89 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I552,EU28	7.33 e	7.19 e	11.08 e	9.05 	44.13 	9.11 e	7.74 e	19.43 b	6.86 e	3.82 e	1.23 e	0.45 e	: 	6.99 e	7.04 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I552,FI	2.72 	14.2 	39.64 	-9.91 	-16.21 	2.28 	15.7 	11.02 b	12.6 	8.04 	-4.66 	9.08 	6.92 	17.88 	5.68 	20.4 	7.6 	13.1 	-1.9 	10.6 	-15.7 	-0.3 	25 	5.4 	4.4 	214.6 	: 	: 	: 	: 
FOR,PCH_PRE,I552,FR	11.91 	13 	8.65 	-5.95 	0.72 	-4.28 	7.2 	-1.9 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I552,HR	4.77 	8.72 	19.48 	18.69 	15.74 	11.77 	13.3 	337.12 b	10.06 	-47.2 	-0.79 	5.96 	12.42 	10.08 	-3.8 	4.6 	14.5 	-2.3 	34.4 	44.5 	-10.3 	8.3 	32 	52.2 	-28 	45.7 	: 	: 	: 	: 
FOR,PCH_PRE,I552,HU	14.94 	6.43 	16.51 	20.63 	27.07 	24.12 	37.3 	39.25 b	2.79 	-13.96 	-17.51 	-10.56 	3.48 	16.73 	4.65 	-8.4 	-0.6 	-18.9 	-61 	2.6 	-9.9 	-10.2 	-11.3 	1.3 	-3.1 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I552,IE	-62.51 e	: 	: 	28.5 e	3.36 e	23.91 e	42.7 e	-37.48 be	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	27.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I552,IS	: 	: 	: 	-1.86 	36.69 	53.78 	38.1 	60.05 b	19.42 	-2.84 	26.6 	2.61 	1.64 	13.71 	-10.55 	7.9 	: 	: 	: 	: 	: 	: 	-64.2 	: 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I552,IT	10.1 	11.91 	16.9 	14.67 	15.16 	7.77 	6.4 	18.21 b	10.67 	6.52 	3.28 	1.41 	4.9 	10.98 	9.6 	1.1 	2.4 	16.1 	4.7 	41.8 	8.5 	4.2 	29.5 	10 	96.9 	8.5 	-0.4 	28.1 	-47.8 	113.7 
FOR,PCH_PRE,I552,LI	5.07 	24.15 	9.14 	11.98 	6.42 	8.59 	-22.4 	-11.54 b	-6.71 	-1.29 	1.39 	-2.02 	3.45 	-33.76 	40.59 	1.4 	-0.1 	2.4 	37.2 	6.5 	-12.1 	32.5 	-4.9 	-2.4 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I552,LT	13.18 	22.26 	9.26 	18.89 	7.75 	21.06 	15.9 	623.11 b	2.74 	9.49 	-32.41 	-20.68 	49.55 	16.76 	-20.16 	-8.8 	9.2 	10.8 	21.5 	-18 	13.8 	-28.9 	22.8 	13.2 	51 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I552,LU	-5.65 	-2.47 	14.02 	-5.42 	9.59 	21.29 	-5 	-2.88 b	88.44 	-48.14 	-4.14 	-6.45 	1.6 	5.17 	7.93 	-12.7 	-11.7 	7.2 	-5.9 	-4.8 	-1.4 	3.5 	0.1 	27.9 	: 	: 	29.5 	-25.7 	-88.4 	: 
FOR,PCH_PRE,I552,LV	8.86 	2.55 	21.23 	20.88 	-18.95 	2.05 	14.8 	68.52 b	67 	-2.14 	-12.74 	0.24 	25.29 	76.79 	285.09 	28.6 	51.9 	-1.7 	38.3 	92.3 	-43.6 	-5 	16.6 	-22.6 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I552,ME	: 	: 	-95.72 	2.68 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I552,MK	5.62 	10.02 	39.53 	-16.91 	-3.91 	13.19 	-13.6 	-4.31 b	-17.39 	-24.86 	-8.02 	: 	: 	: 	: 	: 	: 	24.3 	-65 	23.8 	-20.6 	51.2 	-30.8 	114.5 	-22.9 	21.8 	23.3 	-61.3 	-66.5 	: 
FOR,PCH_PRE,I552,MT	16.02 	9.81 	7.36 	38.68 	-26.67 	54.24 	87.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I552,NL	13.35 	7.34 	10.63 	6.86 	12.29 	5.34 	20.8 b	5.4 b	7.34 	0.84 	1.66 	-2.77 	4.54 	17.79 	-5.07 	0.9 	-4.3 	1.3 	-6.9 	1.1 	15 	14.2 	9.2 	-4.4 	3.9 	14.1 	7 	-1.7 	21.1 	23.4 
FOR,PCH_PRE,I552,NO	: 	: 	: 	9.94 	3.88 	-1.74 	64.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-2.9 	3.9 	5.3 	-8.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I552,PL	5.95 	7.43 	10.7 	14.67 	2.77 	4.57 	-4.6 	16.84 b	7.15 	0.77 	-1.28 	-13.45 	-4.57 	-0.13 	3.84 	-15.4 	1.8 	-9.9 	8.4 	24.6 	-20.5 	-10.3 	-9.7 	-11.7 	-7.4 	592.2 	-87.2 	43 	: 	: 
FOR,PCH_PRE,I552,PT	25.05 	63.29 	71.39 	51.26 	90.4 	29.38 	216.3 b	1.91 b	-7.35 	-5.22 	-6.94 	12.14 	15.92 	1.81 	-19.46 	13.3 	6.7 	15.2 	2.4 	17.8 	-0.9 	2.6 	7.8 	28.1 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I552,RO	4.63 	0.38 	20.66 	18.21 	29.59 	8.59 	14.4 	895.54 b	-3.01 	-1.67 	-13.89 	-8.01 	24.6 	-34.44 	7.25 	258.8 	-55.5 	-56.4 	36.5 	29.9 	-39.1 	-14 	246.4 	-66 	-68.3 	-36.3 	195 	-96.8 	1313.8 	: 
FOR,PCH_PRE,I552,RS	: 	: 	: 	19.18 	20.81 	14.8 	8.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I552,SE	28.47 	-0.26 	0.7 	10.02 	3.86 	9.13 	-4.5 	5.51 b	-8.14 	-1.38 	0.48 	4.74 	9.41 	1.58 	1 	-1.8 	-3 	33.8 	9.7 	2.2 	2.3 	9.6 	-13.7 	-9.6 	109.1 	27.5 	8.1 	-5.7 	-60.3 	60 
FOR,PCH_PRE,I552,SI	: 	: 	28.73 	20.47 	26 	9.71 	17 	81.47 b	12.17 	34.51 	-7.56 	-26.12 	4.83 	1.05 	2.89 	19.2 	-3.1 	3.5 	305.1 	-26.8 	-3.2 	10.8 	99.5 	13.9 	-2.1 	3.1 	13.1 	: 	: 	: 
FOR,PCH_PRE,I552,SK	30.54 	12.18 	9.83 	24.41 	10.29 	-7.08 	7.3 	-1.41 b	6.6 	-16.01 	-24.03 	7.16 	8.35 	4.17 	10.49 	-3.2 	-5.6 	3.4 	41 	0.6 	8.4 	23 	-15 	18.6 	-1.1 	66.9 	44 	-28.1 	-9.6 	: 
FOR,PCH_PRE,I552,TR	-56.14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I552,UK	: 	: 	: 	5.54 	: 	: 	: 	76.58 b	7.16 	-13.49 	9.62 	-5.82 	-0.18 	8.57 	14.21 	9.5 	1 	-10.4 	0 	0 	3.2 	-4.7 	1.6 	1.2 	-60.6 	4.7 	7.2 	8.2 	-5.2 	: 
FOR,PCH_PRE,I552_I553,AT	6.43 	9.02 	7.64 	8.34 	7.09 	1.07 	3.88 	8.6 b	5.52 	0.87 	0.89 	8.05 	5.71 	1.14 	1.08 	0.9 	9.8 	7.1 	7 	1.3 	6.2 	23.2 	-3.8 	-0.1 	-5.7 	-2.6 	-8.1 	-0.9 	-1.5 	5.6 
FOR,PCH_PRE,I552_I553,BE	5.14 	16.73 	7.64 	0.52 	27.8 	2.87 	3 	-0.2 b	0.17 	3.74 	1.4 	1.01 	0.12 	-0.61 	1.02 	-7.3 	2 	5 	3.1 	-6.6 	5 	-0.5 	-2.5 	-4.3 	4.4 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I552_I553,BG	6.41 	20.58 	25.48 	15.22 	-1.27 	-10.3 	25 	142.32 b	49.81 	11.21 	-29.24 	-13.44 	-22.5 	5.35 	-0.73 	18.2 	132.1 	-0.7 	5.4 	6.5 	-45.9 	-13.7 	-8.7 	7 	-2 	-16 	-36.7 	29.1 	-85.7 	: 
FOR,PCH_PRE,I552_I553,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-4 	7.8 	-3.6 	-3.3 	-3.6 	-4 	-1.5 	-99.4 	-2.2 	1 	6 	5.7 
FOR,PCH_PRE,I552_I553,CY	277.78 	-71.08 	104.1 	-84.22 	-15.43 	-3.08 	-29.2 	-94.92 b	0.92 	2.59 	207.94 	-11.54 	-1.07 	-24.84 	31.25 	20.6 	30.7 	55.6 	63.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,PCH_PRE,I552_I553,CZ	-2.14 	16.45 	8.56 	8.69 	17.29 	10.95 	9.4 	41.89 b	-5.95 	-15.02 	-17.75 	-11.44 	-11.24 	0.68 	-9.01 	21 	37.8 	-21.1 	-19.6 	-42.1 	-3.9 	49.4 	11 	53.3 	-8.9 	: 	: 	: 	: 	: 
